Name,Longitude,Latitude,Type
中法大学旧址,116.406562,39.928455,风景名胜;风景名胜;风景名胜
中国协和医科大学护理学院东院,116.420554,39.910624,科教文化服务;学校;高等院校
北京开放大学(东城分校),116.41269,39.924173,科教文化服务;学校;高等院校
北京师范大学附属实验中学,116.367035,39.911047,科教文化服务;学校;中学
北京师范大学附属实验中学(北校区),116.366491,39.913168,科教文化服务;学校;中学
北京师范大学附属中学(西校区),116.383854,39.897609,科教文化服务;学校;中学
北京师范大学实验二龙路中学,116.36842,39.911907,科教文化服务;学校;中学
北京大学第一医院妇产儿童医院停车场,116.382502,39.92289259,交通设施服务;停车场;公共停车场
北京师范大学附属实验中学国际部,116.369429,39.909046,科教文化服务;学校;高等院校|科教文化服务;学校;中学
清华大学医学部,116.414826,39.910672,科教文化服务;学校;高等院校
中国医学科学院北京协和医学院研究生院,116.415783,39.910696,科教文化服务;学校;高等院校
北京大学第一医院(妇产儿童医院),116.382503,39.92278,医疗保健服务;专科医院;专科医院
北京师范大学附属实验中学停车场,116.367114,39.914024,交通设施服务;停车场;公共停车场
首都医科大学附属北京妇产医院停车场,116.404296,39.919945,交通设施服务;停车场;公共停车场
北京师范大学附属中学,116.384452,39.898084,科教文化服务;学校;中学
北京大学医学部学生宿舍楼,116.381956,39.926784,商务住宅;住宅区;宿舍
首都医科大学附属北京同仁医院停车场(内部专用),116.4181063,39.90319932,交通设施服务;停车场;专用停车场
首都医科大学附属北京同仁医院东区内部停车场,116.418568,39.903555,交通设施服务;停车场;专用停车场
北京大学口腔医院第一门诊部,116.377256,39.924236,医疗保健服务;专科医院;口腔医院
中法大学旧址,116.406562,39.928455,风景名胜;风景名胜;风景名胜
中国协和医科大学护理学院东院,116.420554,39.910624,科教文化服务;学校;高等院校
北京开放大学(东城分校),116.41269,39.924173,科教文化服务;学校;高等院校
北京师范大学附属实验中学,116.367035,39.911047,科教文化服务;学校;中学
北京师范大学附属实验中学(北校区),116.366491,39.913168,科教文化服务;学校;中学
北京师范大学附属中学(西校区),116.383854,39.897609,科教文化服务;学校;中学
北京师范大学实验二龙路中学,116.36842,39.911907,科教文化服务;学校;中学
北京大学第一医院妇产儿童医院停车场,116.382502,39.92289259,交通设施服务;停车场;公共停车场
北京师范大学附属实验中学国际部,116.369429,39.909046,科教文化服务;学校;高等院校|科教文化服务;学校;中学
清华大学医学部,116.414826,39.910672,科教文化服务;学校;高等院校
中国医学科学院北京协和医学院研究生院,116.415783,39.910696,科教文化服务;学校;高等院校
北京大学第一医院(妇产儿童医院),116.382503,39.92278,医疗保健服务;专科医院;专科医院
北京师范大学附属实验中学停车场,116.367114,39.914024,交通设施服务;停车场;公共停车场
首都医科大学附属北京妇产医院停车场,116.404296,39.919945,交通设施服务;停车场;公共停车场
北京师范大学附属中学,116.384452,39.898084,科教文化服务;学校;中学
北京大学医学部学生宿舍楼,116.381956,39.926784,商务住宅;住宅区;宿舍
首都医科大学附属北京同仁医院停车场(内部专用),116.4181063,39.90319932,交通设施服务;停车场;专用停车场
首都医科大学附属北京同仁医院东区内部停车场,116.418568,39.903555,交通设施服务;停车场;专用停车场
北京大学口腔医院第一门诊部,116.377256,39.924236,医疗保健服务;专科医院;口腔医院
商务部老年大学,116.41393,39.905759,科教文化服务;学校;成人教育
首都医科大学北京眼科学院,116.418663,39.902936,医疗保健服务;专科医院;眼科医院
首都医科大学附属北京同仁医院西区停车场,116.4181063,39.90319932,交通设施服务;停车场;专用停车场
中国协和医科大学,116.41483,39.910669,科教文化服务;学校;高等院校
北京市东城区职业大学(美术馆校区),116.412691,39.92417,科教文化服务;学校;职业技术学校|科教文化服务;学校;高等院校
京师大学堂建筑遗存,116.400359,39.925357,风景名胜;风景名胜;风景名胜
艺术8,116.406562,39.92851,科教文化服务;科教文化场所;科教文化场所
苏州大学北京研究院,116.406874,39.898895,科教文化服务;科研机构;科研机构
首都医科大学附属北京友谊医院西城院区,116.393755,39.886365,医疗保健服务;综合医院;三级甲等医院
首都医科大学附属北京同仁医院停车场(出入口),116.4181063,39.90319932,交通设施服务;停车场;停车场出入口
首都医科大学附属北京友谊医院西城院区国际医疗中心,116.391723,39.8857,医疗保健服务;综合医院;三级甲等医院
北京大学第一医院药物临床试验机构,116.376333,39.927704,科教文化服务;科研机构;科研机构|医疗保健服务;医疗保健服务场所;医疗保健服务场所
北京大学第一医院妇产儿童医院五官楼,116.381875,39.923433,医疗保健服务;专科医院;专科医院
首都医科大学附属北京同仁医院(东区),116.418439,39.902741,医疗保健服务;综合医院;三级甲等医院
首都医科大学附属北京同仁医院西区,116.417325,39.90208,医疗保健服务;综合医院;三级甲等医院
首都医科大学附属北京友谊医院西城院区东区门诊,116.393215,39.885677,医疗保健服务;综合医院;三级甲等医院
首都医科大学附属北京友谊医院西城院区门急诊大楼,116.393259,39.885685,医疗保健服务;综合医院;三级甲等医院
北京大学口腔医院门诊部,116.377256,39.924237,医疗保健服务;专科医院;口腔医院|医疗保健服务;综合医院;综合医院
首都医科大学附属北京友谊医院西城院区东区,116.393252,39.885671,医疗保健服务;综合医院;三级甲等医院
首都医科大学附属北京同仁医院西区急诊,116.418311,39.903179,医疗保健服务;综合医院;三级甲等医院
首都医科大学附属北京妇产医院西院,116.404303,39.919879,医疗保健服务;专科医院;专科医院
北京大学第一医院妇产儿童医院妇儿门急诊,116.381667,39.922681,医疗保健服务;专科医院;专科医院
首都医科大学附属北京友谊医院西城院区内科楼,116.392385,39.886242,医疗保健服务;综合医院;三级甲等医院
首都医科大学附属北京友谊医院西城院区健康体检中心,116.393225,39.885143,医疗保健服务;综合医院;三级甲等医院
首都医科大学附属北京友谊医院西城院区外科楼,116.39098,39.885067,医疗保健服务;综合医院;三级甲等医院
首都医科大学附属北京友谊医院西城院区西区内科住院部,116.393109,39.885656,医疗保健服务;综合医院;三级甲等医院
首都医科大学附属北京友谊医院西城院区西区儿科楼,116.390837,39.886172,医疗保健服务;综合医院;三级甲等医院
首都医科大学附属北京同仁医院西区门诊楼,116.417322,39.902075,医疗保健服务;综合医院;三级甲等医院
北京大学第一医院妇产儿童医院第一住院部,116.382501,39.922793,医疗保健服务;综合医院;综合医院|医疗保健服务;专科医院;专科医院
首都医科大学附属北京同仁医院东区病房楼,116.418523,39.902731,医疗保健服务;综合医院;三级甲等医院
首都医科大学附属北京妇产医院西院门诊,116.404303,39.919876,医疗保健服务;专科医院;专科医院
北京大学第一医院妇产儿童医院住院处,116.382451,39.923079,医疗保健服务;专科医院;专科医院
首都医科大学附属北京同仁医院东区眼科会诊中心,116.418669,39.903197,医疗保健服务;综合医院;三级甲等医院
首都医科大学附属北京同仁医院东区体检中心,116.418663,39.903045,医疗保健服务;综合医院;三级甲等医院
首都医科大学附属北京同仁医院东区门诊楼,116.418529,39.902733,医疗保健服务;综合医院;三级甲等医院
北京大学第一医院妇产儿童医院妇产科门诊,116.382232,39.923077,医疗保健服务;专科医院;专科医院
首都医科大学附属北京友谊医院儿科放射,116.392368,39.886246,医疗保健服务;综合医院;三级甲等医院
北京大学口腔医院第一门诊部A楼,116.377424,39.92424,医疗保健服务;综合医院;综合医院
首都医科大学附属北京中医医院门诊,116.408462,39.931812,医疗保健服务;综合医院;三级甲等医院
首都医科大学附属北京中医医院,116.408784,39.931849,医疗保健服务;综合医院;三级甲等医院
首都医科大学附属北京友谊医院西城院区西区,116.391645,39.885365,医疗保健服务;综合医院;三级甲等医院
首都医科大学附属北京口腔医院王府井分院,116.409538,39.916355,医疗保健服务;专科医院;口腔医院
首都医科大学附属北京友谊医院西城院区医疗保健中心,116.393142,39.884284,医疗保健服务;综合医院;三级甲等医院
北京大学第一医院第二住院部地下停车场(入口),116.379397,39.929108,交通设施服务;停车场;停车场入口
首都医科大学附属北京中医医院停车场,116.40872,39.931839,交通设施服务;停车场;公共停车场
北京大学第一医院第二住院部,116.379677,39.928905,医疗保健服务;综合医院;三级甲等医院
首都医科大学附属北京友谊医院西城院区西区教学楼,116.390499,39.884361,医疗保健服务;综合医院;三级甲等医院
北京大学第一医院学生公寓楼,116.37997,39.930423,商务住宅;住宅区;住宅小区
北京大学第一医院家属院,116.380845,39.930759,商务住宅;住宅区;住宅小区
北京大学第一医院科研楼,116.3808,39.930694,医疗保健服务;综合医院;三级甲等医院
北京大学泌尿外科研究所,116.380017,39.931094,科教文化服务;科研机构;科研机构
海关总署机关老年大学,116.432106,39.906868,科教文化服务;学校;成人教育
北京大学第一医院急诊楼C区体检中心,116.380055,39.931522,医疗保健服务;综合医院;三级甲等医院
北京大学第一医院停车场(入口),116.379987,39.931586,交通设施服务;停车场;停车场入口
北京中医药大学东直门医院国际部,116.417197,39.930819,医疗保健服务;综合医院;三级甲等医院
北京大学泌尿外科研究所,116.380017,39.931094,科教文化服务;科研机构;科研机构
海关总署机关老年大学,116.432106,39.906868,科教文化服务;学校;成人教育
北京大学第一医院急诊楼C区体检中心,116.380055,39.931522,医疗保健服务;综合医院;三级甲等医院
北京大学第一医院停车场(入口),116.379987,39.931586,交通设施服务;停车场;停车场入口
北京中医药大学东直门医院国际部,116.417197,39.930819,医疗保健服务;综合医院;三级甲等医院
北京大学第一医院,116.381088,39.932928,医疗保健服务;综合医院;三级甲等医院
北京大学第一医院急诊楼,116.379872,39.931683,医疗保健服务;综合医院;三级甲等医院
北京大学第一医院停车场,116.379987,39.931586,交通设施服务;停车场;公共停车场
北京大学第一医院门诊楼地下停车场,116.3810564,39.93231936,交通设施服务;停车场;公共停车场
北京大学第一医院门诊楼地下停车场,116.3810564,39.93231936,交通设施服务;停车场;公共停车场
北京大学第一医院门诊楼,116.381043,39.932841,医疗保健服务;综合医院;三级甲等医院
北京大学第一医院男科中心,116.381037,39.932786,医疗保健服务;综合医院;三级甲等医院
北京大学第一医院门诊,116.380507,39.932748,医疗保健服务;综合医院;三级甲等医院
北京大学人民医院(白塔寺院区),116.366179,39.923947,医疗保健服务;综合医院;三级甲等医院
北京大学人民医院眼视光中心,116.365262,39.924327,医疗保健服务;医疗保健服务场所;医疗保健服务场所
北京大学人民医院(白塔寺院区)眼科楼,116.366273,39.924929,医疗保健服务;综合医院;三级甲等医院
北京辅仁大学旧址,116.384213,39.935651,风景名胜;风景名胜;红色景区
北京师范大学西城校园,116.384216,39.93567,科教文化服务;学校;高等院校
北京大学人民医院(白塔寺院区),116.366179,39.923947,医疗保健服务;综合医院;三级甲等医院
北京大学人民医院眼视光中心,116.365262,39.924327,医疗保健服务;医疗保健服务场所;医疗保健服务场所
北京大学人民医院(白塔寺院区)眼科楼,116.366273,39.924929,医疗保健服务;综合医院;三级甲等医院
北京辅仁大学旧址,116.384213,39.935651,风景名胜;风景名胜;红色景区
北京师范大学西城校园,116.384216,39.93567,科教文化服务;学校;高等院校
北京师范大学附属中学(南校区),116.38652,39.880549,科教文化服务;学校;中学
京师范大学京师附小一分校,116.368391,39.928451,科教文化服务;学校;小学
北京师范大学京师附小,116.368438,39.92845,科教文化服务;学校;小学
北京联合大学(什刹海校区),116.395506,39.938397,科教文化服务;学校;成人教育
中央广播电视大学(复兴门校区),116.35751,39.907061,科教文化服务;学校;成人教育
