Name,Longitude,Latitude,Type,925764
中国协和医科大学,116.41483,39.910669,科教文化服务;学校;高等院校,445335
北京师范大学西城校园,116.384216,39.93567,科教文化服务;学校;高等院校,680371
北京联合大学(什刹海校区),116.395506,39.938397,科教文化服务;学校;成人教育,568847
建行大学,116.362808,39.920517,科教文化服务;学校;成人教育,261726
中国人民大学老校区,116.415168,39.933674,科教文化服务;科教文化场所;科教文化场所,963073
中国人民公安大学木樨地校区,116.334631,39.899681,科教文化服务;学校;高等院校,640314
北京市西城经济科学大学(柳巷),116.364595,39.939291,科教文化服务;学校;高等院校,931885
北京工业大学,116.47972,39.87167,科教文化服务;学校;高等院校,368319
首都医科大学,116.354288,39.86614,科教文化服务;学校;高等院校,756697
北京师范大学,116.361373,39.962662,科教文化服务;学校;高等院校,910337
北京建筑大学(西城校区),116.343564,39.935347,科教文化服务;学校;高等院校,634757
北京邮电大学(海淀校区),116.360955,39.962407,科教文化服务;学校;高等院校,223167
首都经济贸易大学红庙校区,116.476037,39.915494,科教文化服务;学校;高等院校,246903
北京开放大学(东城分校),116.41269,39.924173,科教文化服务;学校;高等院校,760426
北京化工大学东校区,116.418274,39.971038,科教文化服务;学校;高等院校,512092
北京交通大学,116.340083,39.952143,科教文化服务;学校;高等院校,721445
北京中医药大学西校区,116.42495,39.971713,科教文化服务;学校;高等院校,336706
北京交通大学东校区,116.347518,39.94538,科教文化服务;学校;高等院校,534970
首都师范大学东一区,116.325367,39.925113,科教文化服务;学校;高等院校,73283
中央财经大学,116.342703,39.958198,科教文化服务;学校;高等院校,620892
中国政法大学海淀校区,116.352933,39.965018,科教文化服务;学校;高等院校,318142
北京信息科技大学(金台路校区),116.472904,39.921677,科教文化服务;学校;高等院校,510888
对外经济贸易大学,116.424537,39.980563,科教文化服务;学校;高等院校,961032
北京师范大学(南院),116.365598,39.957758,科教文化服务;学校;高等院校,840561
北京工商大学阜成路校区东区,116.319293,39.924134,科教文化服务;学校;高等院校,322952
